earnings_date,revr,ievr,ratio,vol_st,vol_mt,avg_pre,avg_post,normative_implied_vol,normative_realized_vol,skew_ratio,spx_ievr,term_ratio,skew,kurt,iv_ratio,smirk,underlying_price,methodology,ticker
2022-04-27,1.4023572267226516,1.2806578794857488,0.913218012559241,0.8815017683615558,0.6285857494539037,0.3602033434450386,0.46129725000000005,0.3602033434450386,0.4982595881649224,1.1292285923852825,1.0627182575632341,0.9404710864072559,-0.16421202634790452,0.03961714757836857,1.0492118603821516,0.09548159567321776,223.59,ST/MT Ratio (Expanding EWM),META
2022-07-27,1.1207019375834848,1.286008552588715,1.1475027475741435,0.5445284522977755,0.48588160155403654,0.49712149947455175,0.6393025,0.49712149947455175,0.4685137696413273,1.148773769417451,1.0195881672996943,0.9074753907982007,-0.17450873982920026,0.031521687316888966,1.0079229931266303,0.09607025086993752,169.49,ST/MT Ratio (Expanding EWM),META
2022-10-26,1.5742221265076792,1.1362953879018283,0.7218138843103634,1.1895085016767886,0.7556166830888372,0.548271168424231,0.6229980000000002,0.548271168424231,0.3311046390064059,1.162147130698576,0.9618506944046483,0.9786452021677748,-0.12129707327753723,0.03824004844172487,1.1971007695163183,0.07150342235048524,136.37,ST/MT Ratio (Expanding EWM),META
2023-02-01,1.4802703572659437,1.3070028877467617,0.8829487676567362,1.0637833898160005,0.7186412837319841,0.49408584507954983,0.6457716263137707,0.49408584507954983,0.5267042279300482,1.0817011328149382,1.0157101489414084,1.0567662993503906,-0.0649584659701993,0.046511627906976875,0.9754838696072105,0.05335427011030641,124.74,ST/MT Ratio (Expanding EWM),META
2023-04-26,1.2932843115678123,1.3381256622953908,1.0346724616748955,0.5982982984577672,0.46261931201536566,0.3981378692686589,0.5327584999999999,0.3981378692686589,0.4668744333225036,1.2098375841727278,1.0411409932878088,0.9079211730004703,-0.11983379631809402,0.03542775083572668,0.9934805615487613,0.07633090598716655,202.84,ST/MT Ratio (Expanding EWM),META
2023-07-26,1.2961800216378814,1.407889160989849,1.0861833522251094,0.40972754466231776,0.31610388821189905,0.32964011859691145,0.46409674999999995,0.32964011859691145,0.27727796867304155,1.0536780177781595,1.1056460322085095,1.0010414581716227,-0.055624281694445346,0.05954844488371374,0.9914563939245468,0.055467409044156625,278.47,ST/MT Ratio (Expanding EWM),META
2022-02-16,1.154368780842606,0.9697410395218207,0.8400617338368936,0.5797517382779659,0.5022240274505595,0.5570120125922838,0.5401574081173828,0.5570120125922838,0.47233983412275876,1.1115968000456933,0.9537228743406967,0.968849937112591,-0.02136474083330139,0.0584277147878473,0.869623062260439,0.022483818078999466,259.03,ST/MT Ratio (Expanding EWM),NVDA
2022-05-25,0.9609973410835493,1.0227343842193042,1.0642426784096455,0.4954888574286182,0.5155985726973414,0.6549462014140787,0.6698360000000001,0.6549462014140787,0.48905430895254215,1.1862384548870166,0.942353830073243,0.9722600713825145,-0.13305875475317072,0.0549592812446467,0.9140567046715768,0.0814355847928714,199.02,ST/MT Ratio (Expanding EWM),NVDA
2022-08-24,1.056474905087866,1.0739484959868142,1.0165395229122787,0.45980711965410814,0.4352276778556008,0.5597940704294087,0.6011900000000001,0.5597940704294087,0.4248647568995696,1.2075249721286954,1.03160565002629,0.9632487062282944,-0.1599857933627283,0.02230268799972342,1.0280224022484175,0.07296758113235198,170.24,ST/MT Ratio (Expanding EWM),NVDA
2022-11-16,1.086248235757898,1.0061547745173216,0.9262659688605216,0.4687653419481499,0.43154531949235575,0.6429321765960709,0.6468892791729506,0.6429321765960709,0.3979476355032882,1.1969556189491508,0.9826828623064996,0.9767859589833198,-0.1772605912439283,0.03871393186862673,0.9607792468688214,0.10835567950230612,118.88,ST/MT Ratio (Expanding EWM),NVDA
2023-02-22,1.3109668865599169,1.0374956353171918,0.7913972854338558,0.7506068683262741,0.5725597465668467,0.5208719101436192,0.5404023333333334,0.5208719101436192,0.477866754234002,1.1352851943454283,0.9365216718538053,0.9791673580087912,-0.11692937871478261,0.01454541457637366,1.0299712071125602,0.061729724402622865,191.93,ST/MT Ratio (Expanding EWM),NVDA
