year,quarter,quarter_start_date,quarter_end_date,permno,ticker,cusip,comnam,dollar_vol
2005,1,2005-01-01,2005-03-31,86401,FOX,35138T10,FOX ENTERTAINMENT GROUP INC,39701716.95
2005,1,2005-01-01,2005-03-31,85753,VRSN,92343E10,VERISIGN INC,39442460.24
2005,1,2005-01-01,2005-03-31,80599,LEH,52490810,LEHMAN BROTHERS HOLDINGS INC,39095432.75
2005,1,2005-01-01,2005-03-31,20482,ABT,00282410,ABBOTT LABORATORIES,38621802.62
2005,1,2005-01-01,2005-03-31,89565,CMCSK,20030N20,COMCAST CORP NEW,38382221.23
2005,1,2005-01-01,2005-03-31,85914,BBY,08651610,BEST BUY COMPANY INC,38323599.93
2005,1,2005-01-01,2005-03-31,21178,LMT,53983010,LOCKHEED MARTIN CORP,38131302.57
2005,1,2005-01-01,2005-03-31,10299,LLTC,53567810,LINEAR TECHNOLOGY CORP,37799704.68
2005,1,2005-01-01,2005-03-31,24643,AA,44320110,ALCOA INC,37500245.64
2005,1,2005-01-01,2005-03-31,75789,FRE,31340030,FEDERAL HOME LOAN MORTGAGE CORP,36340087.55
2005,1,2005-01-01,2005-03-31,11703,DD,26353410,DU PONT E I DE NEMOURS & CO,36061799.28
2005,1,2005-01-01,2005-03-31,83332,LU,54946310,LUCENT TECHNOLOGIES INC,35582769.6
2005,1,2005-01-01,2005-03-31,10401,T,00195750,A T & T CORP,35432377.62
2005,1,2005-01-01,2005-03-31,20626,DOW,26054310,DOW CHEMICAL CO,35387990.4
2005,1,2005-01-01,2005-03-31,87357,XMSR,98375910,X M SATELLITE RADIO HLDGS INC,35136898.75
2005,1,2005-01-01,2005-03-31,19502,WAG,93142710,WALGREEN CO,35131646.73
2005,1,2005-01-01,2005-03-31,88845,AET,00817Y10,AETNA INC NEW,35048521.2
2005,1,2005-01-01,2005-03-31,89757,KMRT,81235010,KMART HOLDING CORP,34866001.08
2005,1,2005-01-01,2005-03-31,41443,AT,02003910,ALLTEL CORP,34741192.96
2005,1,2005-01-01,2005-03-31,65883,BLS,07986010,BELLSOUTH CORP,34497859.2
2005,1,2005-01-01,2005-03-31,59184,BUD,03522910,ANHEUSER BUSCH COS INC,34492294.64
2005,1,2005-01-01,2005-03-31,19561,BA,09702310,BOEING CO,34487087.8
2005,1,2005-01-01,2005-03-31,34817,NUE,67034610,NUCOR CORP,34220197.44
2005,1,2005-01-01,2005-03-31,82598,NTAP,64110D10,NETWORK APPLIANCE INC,33992766.08
2005,1,2005-01-01,2005-03-31,81138,APOL,03760410,APOLLO GROUP INC,33434849.7
2005,1,2005-01-01,2005-03-31,24563,TXU,87316810,T X U CORP,33019472.0
2005,1,2005-01-01,2005-03-31,80266,QLGC,74727710,QLOGIC CORP,32641738.8
2005,1,2005-01-01,2005-03-31,75577,ALTR,02144110,ALTERA CORP,32454604.8
2005,1,2005-01-01,2005-03-31,76557,KRB,55262L10,M B N A CORP,32298288.3
2005,1,2005-01-01,2005-03-31,61399,LOW,54866110,LOWES COMPANIES INC,32086794.75
2005,1,2005-01-01,2005-03-31,77605,BSX,10113710,BOSTON SCIENTIFIC CORP,31869773.88
2005,1,2005-01-01,2005-03-31,85269,VLO,91913Y10,VALERO ENERGY CORP NEW,31548390.5
2005,1,2005-01-01,2005-03-31,76240,BJS,05548210,B J SERVICES CO,31147883.95
2005,1,2005-01-01,2005-03-31,75510,ADBE,00724F10,ADOBE SYSTEMS INC,30855618.2
2005,1,2005-01-01,2005-03-31,85631,ADSK,05276910,AUTODESK INC,30802962.3
2005,1,2005-01-01,2005-03-31,77274,GILD,37555810,GILEAD SCIENCES INC,30749204.9
2005,1,2005-01-01,2005-03-31,13100,MAY,57777810,MAY DEPARTMENT STORES CO,30502508.1
2005,1,2005-01-01,2005-03-31,76171,HCA,40411910,H C A INC NEW,30368115.96
2005,1,2005-01-01,2005-03-31,43449,MCD,58013510,MCDONALDS CORP,30191496.36
2005,1,2005-01-01,2005-03-31,10324,GENZ,37291710,GENZYME CORP,30165877.25
2005,1,2005-01-01,2005-03-31,66157,USB,90297330,U S BANCORP DEL,29693516.85
2005,1,2005-01-01,2005-03-31,89394,OSTK,69037010,OVERSTOCK COM INC DEL,29680139.04
2005,1,2005-01-01,2005-03-31,12052,GD,36955010,GENERAL DYNAMICS CORP,29621392.5
2005,1,2005-01-01,2005-03-31,10145,HON,43851610,HONEYWELL INTERNATIONAL INC,29548898.82
