gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
017910,P,01,LC,14051.0,54481.0,2024-08-02,
160770,P,01,LC,14054.0,54484.0,2013-07-15,2024-01-31
160770,N,01C,LX,14054.0,54484.0,2013-07-15,2024-01-31
018443,P,01,LC,14062.0,54490.0,2013-08-02,2014-11-28
018432,P,01,LC,14065.0,54492.0,2013-08-14,2016-12-30
018315,P,01,LC,14072.0,54496.0,2013-08-08,
018498,P,01,LC,14076.0,54499.0,2013-09-03,
160997,P,01,LC,14133.0,54538.0,2013-09-25,
018630,P,01,LC,14136.0,54541.0,2013-09-27,
018564,P,01,LC,14145.0,54548.0,2013-09-26,
018487,P,01,LC,14159.0,54556.0,2013-09-20,2022-09-30
018510,P,01,LC,14176.0,54568.0,2013-09-19,2021-11-30
018465,P,01,LC,14179.0,54570.0,2013-10-10,
018675,P,01,LC,14182.0,54574.0,2013-10-02,
018689,P,01,LC,14231.0,54595.0,2013-10-16,
018036,P,01,LC,14239.0,54602.0,2013-10-25,
183602,P,01,LC,14262.0,54619.0,2013-10-25,2023-02-22
018556,P,01,LC,14273.0,54627.0,2013-11-13,
004194,P,02,LC,14276.0,20626.0,2013-11-01,
018872,P,01,LC,14295.0,54638.0,2013-11-07,2022-10-31
018976,P,01,LC,14321.0,54661.0,2013-11-15,2016-09-30
009563,C,00X,LC,14322.0,21592.0,1950-02-01,1962-01-30
009563,P,01,LC,14322.0,21592.0,1962-01-31,2005-03-24
001651,P,01,LU,14323.0,272.0,1980-06-19,2007-12-31
018899,P,01,LC,14325.0,54662.0,2013-11-14,
177637,P,01,LC,14328.0,54665.0,2013-12-18,
186858,P,01,LC,14329.0,54666.0,2013-12-12,
005643,P,04,LC,14338.0,54672.0,2013-12-12,
019171,P,01,LC,14408.0,54704.0,2014-01-17,2018-07-31
019377,P,01,LC,14409.0,54705.0,2014-01-24,2017-11-30
019149,P,01,LC,14436.0,54723.0,2014-01-31,
019418,P,01,LC,14448.0,54729.0,2014-02-05,2015-05-29
018184,P,01,LC,14464.0,54740.0,2014-02-20,2020-12-31
019507,P,01,LC,14503.0,54762.0,2014-03-28,
002991,C,00X,LU,14541.0,20440.0,1950-01-01,1962-01-30
002991,P,01,LU,14541.0,20440.0,1962-01-31,
160329,J,03,LC,14542.0,45483.0,2014-04-03,
019730,P,01,LC,14547.0,54790.0,2014-03-19,
019116,P,01,LC,14552.0,54794.0,2014-03-14,2018-02-28
019977,P,01,LC,14556.0,54798.0,2014-03-28,
005072,P,05,LC,14558.0,53687.0,2014-04-10,
019906,P,01,LC,14567.0,54805.0,2014-04-04,2021-06-30
020116,P,01,LC,14579.0,54812.0,2014-04-15,
019753,P,01,LC,14580.0,54813.0,2014-04-02,
001690,P,01,LU,14593.0,7.0,1980-12-12,
019908,P,01,LC,14596.0,54820.0,2014-04-04,
019649,P,01,LC,14608.0,54830.0,2014-04-17,
148396,P,01,LC,14610.0,54832.0,2014-04-10,
018936,P,01,LC,14615.0,54835.0,2014-04-17,2019-04-14
331856,P,01,LC,14615.0,54835.0,2019-04-15,
020412,P,01,LC,14617.0,54837.0,2014-05-02,
020298,P,01,LC,14634.0,54846.0,2014-05-23,2021-01-29
020229,P,01,LC,14641.0,54851.0,2014-05-15,2022-11-30
010156,C,00X,LU,14656.0,21686.0,1950-01-01,1962-01-30
010156,P,01,LU,14656.0,21686.0,1962-01-31,
020693,P,01,LC,14686.0,54879.0,2014-07-01,2017-01-10
183603,P,01,LC,14686.0,54879.0,2017-01-11,
020644,P,01,LC,14694.0,54888.0,2014-06-26,
020643,P,01,LC,14695.0,54890.0,2014-06-20,2017-10-31
001704,P,01,LU,14702.0,194.0,1972-12-14,
170520,P,01,LC,14707.0,54898.0,2014-06-06,2022-08-31
020748,P,01,LC,14714.0,54907.0,2014-06-06,
020089,P,01,LC,14750.0,54920.0,2014-06-26,2022-10-31
020228,P,01,LC,14763.0,54931.0,2014-07-31,2024-12-31
020686,P,01,LC,14776.0,54936.0,2014-07-31,
010581,C,00X,LC,14795.0,21758.0,1950-01-01,1962-01-30
010581,P,01,LC,14795.0,21758.0,1962-01-31,
020823,P,01,LC,14803.0,54955.0,2014-07-31,
021124,P,01,LC,14812.0,54960.0,2014-07-25,
004384,P,01,LC,14813.0,54961.0,2014-07-28,
020943,P,01,LC,14828.0,54971.0,2014-07-18,
021016,P,01,LC,14871.0,54994.0,2014-08-01,2019-02-28
021033,P,01,LC,14879.0,54998.0,2014-08-07,
021808,P,01,LC,14882.0,55000.0,2014-09-19,
021825,P,01,LC,14889.0,55006.0,2014-09-24,
011038,C,00X,LC,14891.0,21842.0,1950-01-01,1962-01-30
011038,P,01,LC,14891.0,21842.0,1962-01-31,2005-08-10
021761,P,01,LC,14926.0,55023.0,2014-10-01,2022-07-29
020232,P,01,LC,14939.0,55033.0,2014-11-03,
021847,P,01,LC,14970.0,55051.0,2014-10-09,
021626,P,01,LC,14982.0,55059.0,2014-10-01,2020-10-08
021540,P,01,LC,14983.0,55060.0,2014-10-02,
021433,P,01,LC,14984.0,55061.0,2014-10-17,2020-03-31
021227,J,02,LC,14988.0,55037.0,2014-11-05,2015-06-30
021227,P,02,LC,14988.0,55037.0,2015-07-01,
021617,P,01,LC,15003.0,55072.0,2014-10-03,2020-02-28
060923,P,03,LC,15014.0,55082.0,2014-10-10,
021916,P,01,LC,15046.0,55095.0,2014-11-06,
010970,C,00X,LC,15069.0,21795.0,1950-01-01,1962-01-30
010970,P,02,LC,15069.0,21795.0,1962-01-31,1991-04-11
007017,C,01,LC,15069.0,21795.0,1991-04-12,
