date,secid,exdate,strike_price,cp_flag,best_bid,best_offer,open_interest,impl_volatility,delta,gamma,theta,vega,volume,tte,underlying_price,underlying_price_stock,mid_price,moneyness,bid_ask_spread,log_moneyness,earnings_date,days_to_earnings,ticker
2023-01-03,101594.0,2023-01-13,148.0,C,0.05,0.06,1598.0,0.464786,0.016337,0.004239,-7.242137,0.844311,516.0,10,0.055,125.07,0.055,0.8450675675675675,0.1999999999999999,-0.16833869320329992,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,149.0,C,0.04,0.06,1069.0,0.474362,0.014733,0.003801,-6.761413,0.773852,268.0,10,0.05,125.07,0.05,0.8393959731543623,0.4999999999999999,-0.17507272538464405,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,150.0,C,0.04,0.05,4072.0,0.483016,0.013191,0.003394,-6.257074,0.704252,1035.0,10,0.045,125.07,0.045,0.8338,0.25000000000000006,-0.18176171353544054,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,155.0,C,0.02,0.03,5499.0,0.518827,0.007273,0.001879,-3.991146,0.418516,1031.0,10,0.025,125.07,0.025,0.8069032258064516,0.4999999999999999,-0.21455153635843147,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,105.0,P,0.13,0.14,1301.0,0.573327,-0.028573,0.005512,-14.02217,1.355319,736.0,10,0.135,125.07,0.135,1.191142857142857,0.07692307692307698,0.17491323040329176,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,106.0,P,0.16,0.17,0.0,0.567401,-0.03438,0.00649,-16.16196,1.576062,189.0,10,0.165,125.07,0.165,1.1799056603773583,0.06250000000000006,0.16543448644874795,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,107.0,P,0.19,0.2,0.0,0.558198,-0.040345,0.007517,-18.10907,1.799272,281.0,10,0.195,125.07,0.195,1.1688785046728971,0.05263157894736847,0.15604474609890898,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,108.0,P,0.22,0.23,0.0,0.546412,-0.046539,0.008617,-19.88112,2.016074,683.0,10,0.225,125.07,0.225,1.1580555555555554,0.0454545454545455,0.1467423534365954,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,109.0,P,0.26,0.27,0.0,0.536987,-0.054403,0.009931,-22.1143,2.279437,2377.0,10,0.265,125.07,0.265,1.1474311926605505,0.03846153846153849,0.13752569833167155,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,110.0,P,0.32,0.33,2075.0,0.53257,-0.065209,0.01154,-25.25988,2.634177,2789.0,10,0.325,125.07,0.325,1.137,0.03125000000000003,0.128393214768399,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,111.0,P,0.37,0.38,0.0,0.5209,-0.075034,0.013143,-27.50129,2.930244,843.0,10,0.375,125.07,0.375,1.1267567567567567,0.027027027027027053,0.11934337924848101,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,112.0,P,0.45,0.46,0.0,0.515946,-0.088967,0.015086,-30.94609,3.335881,505.0,10,0.455,125.07,0.455,1.1166964285714285,0.02222222222222224,0.11037470926572059,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,113.0,P,0.53,0.55,107.0,0.508458,-0.103847,0.017151,-34.13811,3.730673,516.0,10,0.54,125.07,0.54,1.1068141592920353,0.03773584905660381,0.10148576184847456,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,114.0,P,0.64,0.65,235.0,0.502419,-0.121379,0.019406,-37.6794,4.170336,5035.0,10,0.645,125.07,0.645,1.0971052631578946,0.015625000000000014,0.09267513216631962,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,115.0,P,0.76,0.77,3049.0,0.495776,-0.140939,0.021805,-41.18135,4.629995,4657.0,10,0.765,125.07,0.765,1.0875652173913042,0.013157894736842117,0.083941452197565,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,116.0,P,0.9,0.91,293.0,0.489305,-0.162985,0.024335,-44.71582,5.096881,2052.0,10,0.905,125.07,0.905,1.0781896551724137,0.01111111111111112,0.0752833894544505,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,117.0,P,1.07,1.08,393.0,0.484275,-0.188248,0.02694,-48.42925,5.587419,1037.0,10,1.0750000000000002,125.07,1.0750000000000002,1.068974358974359,0.009345794392523372,0.06669964576305912,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,118.0,P,1.26,1.28,371.0,0.479193,-0.216074,0.029575,-51.98278,6.061651,963.0,10,1.27,125.07,1.27,1.059915254237288,0.015873015873015886,0.058188956095150374,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,119.0,P,1.49,1.5,854.0,0.474347,-0.246628,0.032171,-55.32001,6.533172,1009.0,10,1.495,125.07,1.495,1.0510084033613445,0.00671140939597316,0.04975008744928579,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,120.0,P,1.74,1.75,5294.0,0.468642,-0.279436,0.034718,-58.16695,6.959812,16932.0,10,1.745,125.07,1.745,1.04225,0.005747126436781614,0.04138183777876912,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,121.0,P,2.03,2.05,654.0,0.464556,-0.315309,0.037018,-60.82389,7.35779,1674.0,10,2.04,125.07,2.04,1.0336363636363637,0.009852216748768483,0.03308303496407418,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,122.0,P,2.35,2.37,1403.0,0.45904,-0.353012,0.039185,-62.71775,7.68786,2212.0,10,2.3600000000000003,125.07,2.3600000000000003,1.0251639344262296,0.008510638297872348,0.024852535827558697,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,123.0,P,2.71,2.73,1298.0,0.453765,-0.392894,0.041039,-64.01347,7.957798,2547.0,10,2.7199999999999998,125.07,2.7199999999999998,1.016829268292683,0.007380073800738014,0.016689225188397733,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,124.0,P,3.1,3.15,1175.0,0.449123,-0.434621,0.042469,-64.69913,8.144855,5953.0,10,3.125,125.07,3.125,1.0086290322580644,0.016129032258064457,0.008592014955778274,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,125.0,P,3.55,3.6,4458.0,0.444826,-0.477658,0.043424,-64.66771,8.242871,9927.0,10,3.575,125.07,3.575,1.00056,0.014084507042253596,0.0005598432585139854,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,126.0,P,4.0,4.05,5725.0,0.435381,-0.522095,0.044417,-63.07695,8.243001,2222.0,10,4.025,125.07,4.025,0.9926190476190475,0.012499999999999956,-0.00740832639066289,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,127.0,P,4.5,4.6,2193.0,0.429606,-0.567059,0.044501,-61.21558,8.136992,1969.0,10,4.55,125.07,4.55,0.9848031496062991,0.022222222222222143,-0.01531350589777616,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,128.0,P,5.05,5.15,1317.0,0.421324,-0.612895,0.044249,-58.16247,7.918128,1098.0,10,5.1,125.07,5.1,0.977109375,0.01980198019801991,-0.023156683358802006,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,129.0,P,5.7,5.75,2207.0,0.41678,-0.657134,0.04304,-54.95462,7.607115,1520.0,10,5.725,125.07,5.725,0.9695348837209302,0.008771929824561372,-0.030938823800856913,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,130.0,P,6.35,6.4,9522.0,0.409642,-0.701337,0.041467,-50.65666,7.172369,2503.0,10,6.375,125.07,6.375,0.962076923076923,0.007874015748031609,-0.03866086989476723,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,131.0,P,7.0,7.1,818.0,0.399514,-0.745795,0.039466,-45.25189,6.62258,772.0,10,7.05,125.07,7.05,0.9547328244274809,0.014285714285714235,-0.04632374264033638,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,132.0,P,7.75,7.85,1288.0,0.393979,-0.785478,0.036644,-40.24107,6.031116,478.0,10,7.8,125.07,7.8,0.9474999999999999,0.012903225806451568,-0.05392834202555575,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,133.0,P,8.55,8.6,921.0,0.385775,-0.82414,0.033466,-34.48404,5.335792,588.0,10,8.575,125.07,8.575,0.940375939849624,0.005847953216374144,-0.061475547660938636,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,134.0,P,9.3,9.5,2319.0,0.379638,-0.858147,0.029912,-29.04536,4.62361,236.0,10,9.4,125.07,9.4,0.9333582089552238,0.021505376344085943,-0.06896621939009623,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,135.0,P,10.15,10.35,2257.0,0.371084,-0.890242,0.026123,-23.26784,3.862735,813.0,10,10.25,125.07,10.25,0.9264444444444444,0.019704433497536877,-0.07640119787761428,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,136.0,P,11.05,11.2,709.0,0.359507,-0.920467,0.022065,-17.25106,3.024461,313.0,10,11.125,125.07,11.125,0.9196323529411764,0.013574660633484033,-0.08378130517523687,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,137.0,P,11.95,12.15,873.0,0.354477,-0.942251,0.01839,-12.87302,2.331849,369.0,10,12.05,125.07,12.05,0.9129197080291971,0.016736401673640256,-0.0911073452673097,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,138.0,P,12.8,13.15,468.0,0.335892,-0.967998,0.01405,-7.03231,1.430721,168.0,10,12.975000000000001,125.07,12.975000000000001,0.9063043478260869,0.027343749999999972,-0.0983801045963895,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-20,105.0,C,20.65,20.9,2414.0,0.57918,0.930147,0.008578,-26.36718,3.618157,183.0,17,20.775,125.07,20.775,1.191142857142857,0.012106537530266345,0.17491323040329176,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-20,110.0,C,15.95,16.2,7158.0,0.520014,0.888145,0.01356,-32.5189,5.129765,431.0,17,16.075,125.07,16.075,1.137,0.015673981191222573,0.128393214768399,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-20,115.0,C,11.6,11.75,24447.0,0.476048,0.8123,0.020958,-40.78012,7.268709,366.0,17,11.675,125.07,11.675,1.0875652173913042,0.012931034482758652,0.083941452197565,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-20,118.0,C,9.25,9.35,47.0,0.459299,0.743868,0.025956,-46.20976,8.685419,181.0,17,9.3,125.07,9.3,1.059915254237288,0.010810810810810773,0.058188956095150374,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-20,119.0,C,8.5,8.6,87.0,0.453277,0.717858,0.027609,-47.64843,9.120055,146.0,17,8.55,125.07,8.55,1.0510084033613445,0.0117647058823529,0.04975008744928579,2023-02-02,30,AAPL
