window_id,algorithm,train_start,train_end,test_start,test_end,test_year,train_r2,test_r2,test_rmse,train_size,test_size,importance_ievr,importance_raw_ievr,importance_normative_iv_rv_ratio,importance_raw_normative_iv_rv_ratio,importance_SKEW,importance_raw_SKEW,importance_KURT,importance_raw_KURT,importance_IV_RATIO,importance_raw_IV_RATIO,importance_SMIRK,importance_raw_SMIRK,importance_vol_hl7,importance_raw_vol_hl7,importance_vol_hl10,importance_raw_vol_hl10,importance_vol_hl21,importance_raw_vol_hl21,importance_z_score_momentum,importance_raw_z_score_momentum
6,RandomForest,2007-07,2012-06,2012-07,2012-12,2012,0.3999726215887415,0.20033453073637164,0.22119183830020017,3541,406,0.1535764146657957,0.1535764146657957,0.33045780661037777,0.33045780661037777,0.0789507980449916,0.0789507980449916,0.06268720209370067,0.06268720209370067,0.07826095547619999,0.07826095547619999,0.06071452428569517,0.06071452428569517,0.04678223977934021,0.04678223977934021,0.043914157842035825,0.043914157842035825,0.06824897543352115,0.06824897543352115,0.07640692576834188,0.07640692576834188
6,XGBoost,2007-07,2012-06,2012-07,2012-12,2012,0.6682773436481255,0.13992802774751822,0.22939414250740436,3541,406,0.08878954499959946,0.08878953754901886,0.16679832339286804,0.16679830849170685,0.08543596416711807,0.08543595671653748,0.0907072052359581,0.0907071977853775,0.08757287263870239,0.0875728651881218,0.09928949177265167,0.09928948432207108,0.08637414127588272,0.08637413382530212,0.09639694541692734,0.09639693796634674,0.10253313928842545,0.10253313183784485,0.09610243886709213,0.09610243141651154
7,RandomForest,2008-01,2012-12,2013-01,2013-06,2013,0.3984176918567658,0.08791152841326555,0.22127712608643849,3644,455,0.16114684049303318,0.16114684049303318,0.3626158761228362,0.3626158761228362,0.07131742372079404,0.07131742372079404,0.06623085086689473,0.06623085086689473,0.0714234414108426,0.0714234414108426,0.05055897675401004,0.05055897675401004,0.04029577184194556,0.04029577184194556,0.03507663343111189,0.03507663343111189,0.05532570610804013,0.05532570610804013,0.0860084792504917,0.0860084792504917
7,XGBoost,2008-01,2012-12,2013-01,2013-06,2013,0.6562120501252386,0.022003025202877002,0.2291325533532045,3644,455,0.09305445849895477,0.09305446594953537,0.18013763427734375,0.18013764917850494,0.07962612807750702,0.07962613552808762,0.08262603729963303,0.08262604475021362,0.08595395088195801,0.0859539583325386,0.08865634351968765,0.08865635097026825,0.09110826998949051,0.0911082774400711,0.09791511297225952,0.09791512787342072,0.10447802394628525,0.10447803884744644,0.0964440330862999,0.09644404798746109
8,RandomForest,2008-07,2013-06,2013-07,2013-12,2013,0.3939994862405747,0.2473895681497168,0.21925414897844714,3753,459,0.16437792767746853,0.16437792767746853,0.3634792265643985,0.3634792265643985,0.06803180963081856,0.06803180963081856,0.06544674430525882,0.06544674430525882,0.07582168894793703,0.07582168894793703,0.055129651580527156,0.055129651580527156,0.038283453721034824,0.038283453721034824,0.03157445153861359,0.03157445153861359,0.053058442083046366,0.053058442083046366,0.08479660395089665,0.08479660395089665
8,XGBoost,2008-07,2013-06,2013-07,2013-12,2013,0.6557813368453644,0.19914237352026776,0.22617279307856283,3753,459,0.08977654576301575,0.08977654576301575,0.17588408291339874,0.17588408291339874,0.0842076912522316,0.0842076912522316,0.085539311170578,0.085539311170578,0.08848336338996887,0.08848336338996887,0.09169410914182663,0.09169410914182663,0.08640734851360321,0.08640734851360321,0.0917619913816452,0.0917619913816452,0.10814299434423447,0.10814299434423447,0.0981026217341423,0.0981026217341423
9,RandomForest,2009-01,2013-12,2014-01,2014-06,2014,0.3997899171123661,0.2122586683065546,0.19497503063201788,3912,483,0.1741955812766518,0.1741955812766518,0.39179862884502703,0.39179862884502703,0.060933654938509794,0.060933654938509794,0.05795368712406419,0.05795368712406419,0.05842524818099582,0.05842524818099582,0.05244398637141448,0.05244398637141448,0.037974414181377154,0.037974414181377154,0.03499699109726619,0.03499699109726619,0.05150311323289916,0.05150311323289916,0.07977469475179429,0.07977469475179429
9,XGBoost,2009-01,2013-12,2014-01,2014-06,2014,0.6529820317200893,0.14832222152578733,0.20273318288676778,3912,483,0.09403631836175919,0.09403631091117859,0.18416430056095123,0.18416428565979004,0.0809641107916832,0.0809641033411026,0.08470062166452408,0.08470061421394348,0.08159322291612625,0.08159321546554565,0.08902914077043533,0.08902913331985474,0.09179111570119858,0.09179110825061798,0.09797704219818115,0.09797703474760056,0.10075544565916061,0.10075543820858002,0.09498871117830276,0.09498870372772217
10,RandomForest,2009-07,2014-06,2014-07,2014-12,2014,0.3980264951972353,0.2889564975970227,0.202792315861855,4036,514,0.16319369774707126,0.16319369774707126,0.4035357965523991,0.4035357965523991,0.06054305758912613,0.06054305758912613,0.05760819314746152,0.05760819314746152,0.06483234189069863,0.06483234189069863,0.05286453383573273,0.05286453383573273,0.03628149700945957,0.03628149700945957,0.04020179809514465,0.04020179809514465,0.047648545904076425,0.047648545904076425,0.07329053822883008,0.07329053822883008
10,XGBoost,2009-07,2014-06,2014-07,2014-12,2014,0.6376258672260904,0.25278504703485927,0.20788645136795492,4036,514,0.09068341553211212,0.09068341553211212,0.1922208070755005,0.1922208070755005,0.07737205922603607,0.07737205922603607,0.08248578757047653,0.08248578757047653,0.08825758099555969,0.08825758099555969,0.09200336039066315,0.09200336039066315,0.08306369185447693,0.08306369185447693,0.09989555180072784,0.09989555180072784,0.10539223253726959,0.10539223253726959,0.08862558007240295,0.08862558007240295
11,RandomForest,2010-01,2014-12,2015-01,2015-06,2015,0.39910433547094126,0.22681517772223359,0.20841689630169874,4254,536,0.15634792787329863,0.15634792787329863,0.44789268498972395,0.44789268498972395,0.053907290778286,0.053907290778286,0.050834979751689796,0.050834979751689796,0.06498504394022486,0.06498504394022486,0.04543282413247467,0.04543282413247467,0.03454119337323355,0.03454119337323355,0.03748612675479831,0.03748612675479831,0.04327083040559059,0.04327083040559059,0.06530109800067978,0.06530109800067978
11,XGBoost,2010-01,2014-12,2015-01,2015-06,2015,0.6235787294878622,0.21224052931136206,0.21037207016970239,4254,536,0.08445575833320618,0.08445575833320618,0.21766012907028198,0.21766012907028198,0.06967605650424957,0.06967605650424957,0.08198639750480652,0.08198639750480652,0.09032878279685974,0.09032878279685974,0.08940091729164124,0.08940091729164124,0.08248520642518997,0.08248520642518997,0.0972752645611763,0.0972752645611763,0.09785378724336624,0.09785378724336624,0.08887771517038345,0.08887771517038345
12,RandomForest,2010-07,2015-06,2015-07,2015-12,2015,0.41941986912185913,0.1624845128060174,0.21812093313680972,4453,554,0.16292632001744853,0.1629263200174485,0.43519709294654996,0.43519709294654985,0.057843105798357504,0.05784310579835749,0.04950200356346185,0.049502003563461836,0.06804595445136408,0.06804595445136406,0.044378078973436444,0.04437807897343644,0.03353920525312154,0.03353920525312153,0.034997604979763404,0.0349976049797634,0.047042327581523186,0.04704232758152317,0.06652830643497368,0.06652830643497366
12,XGBoost,2010-07,2015-06,2015-07,2015-12,2015,0.629252418450899,0.12239871916812306,0.2232798582787099,4453,554,0.09206836670637131,0.09206836670637131,0.21888518333435059,0.21888518333435059,0.07246091216802597,0.07246091216802597,0.0830017551779747,0.0830017551779747,0.08676515519618988,0.08676515519618988,0.08402948826551437,0.08402948826551437,0.08424612879753113,0.08424612879753113,0.0977076068520546,0.0977076068520546,0.09404683858156204,0.09404683858156204,0.08678855746984482,0.08678855746984482
13,RandomForest,2011-01,2015-12,2016-01,2016-06,2016,0.43185742529526006,0.17892594091692726,0.22164854774985238,4642,551,0.15943634507854468,0.15943634507854468,0.47003466317104114,0.47003466317104114,0.05254483738616995,0.05254483738616995,0.0472633439932075,0.0472633439932075,0.06333100246873323,0.06333100246873323,0.03911740207555563,0.03911740207555563,0.036833952353751906,0.036833952353751906,0.029335147614322366,0.029335147614322366,0.038614410540167905,0.038614410540167905,0.06348889531850584,0.06348889531850584
13,XGBoost,2011-01,2015-12,2016-01,2016-06,2016,0.6312442377639451,0.12150426887458499,0.2292680579403226,4642,551,0.08803121745586395,0.08803122490644455,0.23771707713603973,0.23771710693836212,0.07883179932832718,0.07883180677890778,0.08020249754190445,0.08020250499248505,0.08563152700662613,0.08563153445720673,0.07753951847553253,0.07753952592611313,0.08056475967168808,0.08056476712226868,0.0922967940568924,0.09229680150747299,0.09378781169652939,0.09378782659769058,0.08539700508117676,0.08539701253175735
14,RandomForest,2011-07,2016-06,2016-07,2016-12,2016,0.43249789059193555,0.20943887985171883,0.23033170211522552,4793,608,0.17246842954379388,0.1724684295437939,0.45759796590181656,0.4575979659018167,0.05458369199121885,0.05458369199121886,0.0482960019808667,0.04829600198086671,0.06590468776317632,0.06590468776317633,0.03980430664845736,0.03980430664845737,0.03537935816132696,0.035379358161326965,0.0241787854502828,0.024178785450282805,0.040832206010782024,0.04083220601078203,0.06095456654827837,0.06095456654827838
14,XGBoost,2011-07,2016-06,2016-07,2016-12,2016,0.614842850430178,0.1622755777321062,0.23710274358494365,4793,608,0.09114915877580643,0.09114915877580643,0.2555120289325714,0.2555120289325714,0.07439675182104111,0.07439675182104111,0.07782706618309021,0.07782706618309021,0.0891542136669159,0.0891542136669159,0.07417424023151398,0.07417424023151398,0.08169818669557571,0.08169818669557571,0.08396311849355698,0.08396311849355698,0.0898771807551384,0.0898771807551384,0.0822480246424675,0.0822480246424675
15,RandomForest,2012-01,2016-12,2017-01,2017-06,2017,0.43878782485340506,0.2355061818727886,0.2330734661071934,5013,555,0.19543233292417464,0.19543233292417464,0.44315239926156136,0.44315239926156136,0.047747761880601494,0.047747761880601494,0.04704977910624071,0.04704977910624071,0.060871359306317506,0.060871359306317506,0.04288192364439958,0.04288192364439958,0.034893386032839445,0.034893386032839445,0.02891771183111664,0.02891771183111664,0.04138982248757818,0.04138982248757818,0.05766352352517042,0.05766352352517042
15,XGBoost,2012-01,2016-12,2017-01,2017-06,2017,0.6186102829500874,0.19806142223231982,0.23871318028518917,5013,555,0.10406600683927536,0.10406599938869476,0.22951707243919373,0.22951705753803253,0.07240859419107437,0.07240858674049377,0.07792646437883377,0.07792645692825317,0.08352869749069214,0.08352869004011154,0.08161655813455582,0.08161655068397522,0.08605179190635681,0.08605178445577621,0.0896744653582573,0.0896744579076767,0.09020480513572693,0.09020479768514633,0.08500558137893677,0.08500557392835617
16,RandomForest,2012-07,2017-06,2017-07,2017-12,2017,0.4478229106412043,0.18713958501870842,0.22630603533139337,5198,643,0.19899128675126343,0.1989912867512634,0.46098160792810544,0.4609816079281054,0.04646615599504841,0.0464661559950484,0.03987015882489886,0.03987015882489885,0.06276992468664397,0.06276992468664395,0.04028362500459251,0.0402836250045925,0.03238859761334734,0.032388597613347336,0.025928901956048193,0.02592890195604819,0.04173222422132994,0.04173222422132993,0.05058751701872204,0.050587517018722036
16,XGBoost,2012-07,2017-06,2017-07,2017-12,2017,0.614250872365246,0.1526348493543216,0.23105929740086817,5198,643,0.10251177847385406,0.10251177847385406,0.25576484203338623,0.25576484203338623,0.07123757898807526,0.07123757898807526,0.07473812997341156,0.07473812997341156,0.09078960865736008,0.09078960865736008,0.07233115285634995,0.07233115285634995,0.08021397143602371,0.08021397143602371,0.0851498544216156,0.0851498544216156,0.08679357171058655,0.08679357171058655,0.0804695188999176,0.0804695188999176
17,RandomForest,2013-01,2017-12,2018-01,2018-06,2018,0.4456822894946947,0.1328702573572259,0.21006791680417697,5440,597,0.20947733848487274,0.20947733848487274,0.4475664958518886,0.4475664958518886,0.04166973945852005,0.04166973945852005,0.04553150664167537,0.04553150664167537,0.06465342869395464,0.06465342869395464,0.0421152656490096,0.0421152656490096,0.03353983371343224,0.03353983371343224,0.02419121706366053,0.02419121706366053,0.04133091458256205,0.04133091458256205,0.04992425986042422,0.04992425986042422
17,XGBoost,2013-01,2017-12,2018-01,2018-06,2018,0.6060618384146406,0.09904560731781342,0.21412584547138833,5440,597,0.1078435555100441,0.10784357041120529,0.2458246946334839,0.24582472443580627,0.0735478550195694,0.07354786247015,0.07237899303436279,0.07237900048494339,0.09111783653497696,0.09111784398555756,0.07463232427835464,0.07463233172893524,0.08416475355625153,0.08416476100683212,0.08189943432807922,0.08189944177865982,0.0906798243522644,0.090679831802845,0.07791068404912949,0.07791069149971008
18,RandomForest,2013-07,2018-06,2018-07,2018-12,2018,0.44900297544735557,0.04854995814955887,0.21342056563729744,5588,676,0.21117966436435076,0.21117966436435076,0.4491633764596137,0.4491633764596137,0.046697431453417405,0.046697431453417405,0.04478638535239659,0.04478638535239659,0.06260063462868634,0.06260063462868634,0.0403639963008086,0.0403639963008086,0.03232207154589846,0.03232207154589846,0.02587816590929929,0.02587816590929929,0.04099817435939603,0.04099817435939603,0.0460100996261329,0.0460100996261329
18,XGBoost,2013-07,2018-06,2018-07,2018-12,2018,0.5977801825683215,0.02743752515030129,0.21577544763007667,5588,676,0.10982276499271393,0.10982276499271393,0.2550576329231262,0.2550576329231262,0.06791657954454422,0.06791657954454422,0.07050774991512299,0.07050774991512299,0.09126630425453186,0.09126630425453186,0.07668094336986542,0.07668094336986542,0.07601701468229294,0.07601701468229294,0.08235874027013779,0.08235874027013779,0.0950314998626709,0.0950314998626709,0.07534077763557434,0.07534077763557434
19,RandomForest,2014-01,2018-12,2019-01,2019-06,2019,0.4406608719016448,0.14544445843505138,0.22073785781237712,5814,652,0.2122055462929126,0.2122055462929126,0.428534407699533,0.428534407699533,0.045905121045895655,0.045905121045895655,0.04597759156410646,0.04597759156410646,0.07195368339310934,0.07195368339310934,0.042912249287322936,0.042912249287322936,0.03323498359758669,0.03323498359758669,0.0264677101971993,0.0264677101971993,0.04447982931642604,0.04447982931642604,0.048328877605907955,0.048328877605907955
19,XGBoost,2014-01,2018-12,2019-01,2019-06,2019,0.600146918659995,0.11644767396395794,0.22445165571719203,5814,652,0.11004086583852768,0.11004085838794708,0.23532554507255554,0.23532553017139435,0.07045773416757584,0.07045772671699524,0.07261353731155396,0.07261352986097336,0.09684453159570694,0.09684452414512634,0.08033662289381027,0.08033661544322968,0.07896655052900314,0.07896654307842255,0.07884473353624344,0.07884472608566284,0.09659262746572495,0.09659262001514435,0.07997728884220123,0.07997728139162064
20,RandomForest,2014-07,2019-06,2019-07,2019-12,2019,0.43906222369938275,0.18589105988855348,0.21225907158363821,5990,679,0.2179021112924224,0.2179021112924224,0.43203132429248814,0.43203132429248814,0.04499421094083384,0.04499421094083384,0.042304885172410794,0.042304885172410794,0.06360879635052664,0.06360879635052664,0.045258006242826276,0.045258006242826276,0.03381061589020191,0.03381061589020191,0.02874787095401806,0.02874787095401806,0.04731754085456343,0.04731754085456343,0.04402463800970848,0.04402463800970848
20,XGBoost,2014-07,2019-06,2019-07,2019-12,2019,0.5915395435395754,0.18153607589231646,0.2128260423455806,5990,679,0.11720436066389084,0.11720436066389084,0.23453888297080994,0.23453888297080994,0.07187957316637039,0.07187957316637039,0.0689648687839508,0.0689648687839508,0.09090050309896469,0.09090050309896469,0.07941507548093796,0.07941507548093796,0.0797741636633873,0.0797741636633873,0.08253416419029236,0.08253416419029236,0.09684354066848755,0.09684354066848755,0.07794484496116638,0.07794484496116638
21,RandomForest,2015-01,2019-12,2020-01,2020-06,2020,0.433709553414497,0.3969779935978026,0.19866084937113943,6165,631,0.2305551249936056,0.23055512499360564,0.41634618263382217,0.4163461826338223,0.04702124296240722,0.047021242962407235,0.042940508826481844,0.04294050882648185,0.06010137473947949,0.060101374739479504,0.04433596614650634,0.044335966146506346,0.03588447789269695,0.035884477892696956,0.028960468599227646,0.028960468599227653,0.047356050972201275,0.04735605097220129,0.0464986022335713,0.04649860223357131
21,XGBoost,2015-01,2019-12,2020-01,2020-06,2020,0.5845124254395893,0.4000358643531122,0.19815651348283977,6165,631,0.1195492297410965,0.1195492297410965,0.22592885792255402,0.22592885792255402,0.06785029172897339,0.06785029172897339,0.07357237488031387,0.07357237488031387,0.0927668884396553,0.0927668884396553,0.08273680508136749,0.08273680508136749,0.07849356532096863,0.07849356532096863,0.08011619746685028,0.08011619746685028,0.10058178007602692,0.10058178007602692,0.07840405404567719,0.07840405404567719
22,RandomForest,2015-07,2020-06,2020-07,2020-12,2020,0.4474577946188102,0.19230195521436366,0.20416327428880876,6268,668,0.19906441448035675,0.19906441448035675,0.35958589280351816,0.35958589280351816,0.04196519389235239,0.04196519389235239,0.035664473516771364,0.035664473516771364,0.057134577473996695,0.057134577473996695,0.036686345866277524,0.036686345866277524,0.04331501431557707,0.04331501431557707,0.09419025936178035,0.09419025936178035,0.09519689447124159,0.09519689447124159,0.03719693381812819,0.03719693381812819
22,XGBoost,2015-07,2020-06,2020-07,2020-12,2020,0.6035093748974218,0.16942356435605566,0.20703458928003962,6268,668,0.11555656045675278,0.11555656045675278,0.20694053173065186,0.20694053173065186,0.06440089643001556,0.06440089643001556,0.06692150235176086,0.06692150235176086,0.08642802387475967,0.08642802387475967,0.07470376044511795,0.07470376044511795,0.09117767214775085,0.09117767214775085,0.10932663828134537,0.10932663828134537,0.11718449741601944,0.11718449741601944,0.06735985726118088,0.06735985726118088
23,RandomForest,2016-01,2020-12,2021-01,2021-06,2021,0.4487834767135285,0.14426607488686183,0.19772440944097636,6385,571,0.20822456868426506,0.20822456868426506,0.3084827695774576,0.3084827695774576,0.04415215116721245,0.04415215116721245,0.039394930973379254,0.039394930973379254,0.06112992999369626,0.06112992999369626,0.04180712036361842,0.04180712036361842,0.0312881035820525,0.0312881035820525,0.11069429920615936,0.11069429920615936,0.1158757589224123,0.1158757589224123,0.038950367529746864,0.038950367529746864
23,XGBoost,2016-01,2020-12,2021-01,2021-06,2021,0.5963665421757927,0.13418404486466318,0.19888576701706975,6385,571,0.11868561804294586,0.11868561059236526,0.17577366530895233,0.17577365040779114,0.06168832257390022,0.061688318848609924,0.06873279064893723,0.06873278319835663,0.08900845795869827,0.08900845050811768,0.07332008332014084,0.07332007586956024,0.07152282446622849,0.07152281701564789,0.1298089623451233,0.1298089474439621,0.14072540402412415,0.14072538912296295,0.07073395699262619,0.0707339495420456
24,RandomForest,2016-07,2021-06,2021-07,2021-12,2021,0.456322611513864,0.18010357069128136,0.21604493967692678,6410,679,0.21189118863777484,0.21189118863777484,0.3134065153353736,0.3134065153353736,0.03864530953590215,0.03864530953590215,0.04169881353848384,0.04169881353848384,0.058579791509816834,0.058579791509816834,0.03769867313502559,0.03769867313502559,0.03139893400854241,0.03139893400854241,0.06634134398560158,0.06634134398560158,0.15815968039327047,0.15815968039327047,0.042179749920208634,0.042179749920208634
24,XGBoost,2016-07,2021-06,2021-07,2021-12,2021,0.5975877384416108,0.1406449879590046,0.22118257413232975,6410,679,0.11893980950117111,0.11893980950117111,0.17644813656806946,0.17644813656806946,0.05548115074634552,0.05548115074634552,0.06935808062553406,0.06935808062553406,0.08643694221973419,0.08643694221973419,0.07636377215385437,0.07636377215385437,0.07345712929964066,0.07345712929964066,0.12347700446844101,0.12347700446844101,0.15157905220985413,0.15157905220985413,0.0684589147567749,0.0684589147567749
25,RandomForest,2017-01,2021-12,2022-01,2022-06,2022,0.4497873638476384,0.05456121100104394,0.21161049486129221,6489,694,0.21397219262298303,0.21397219262298303,0.3316305840575216,0.3316305840575216,0.03744633352335331,0.03744633352335331,0.04317328538104096,0.04317328538104096,0.06470791096655652,0.06470791096655652,0.04049601269850329,0.04049601269850329,0.03228076061363058,0.03228076061363058,0.07088706105798298,0.07088706105798298,0.12500171716427944,0.12500171716427944,0.040404141914148324,0.040404141914148324
25,XGBoost,2017-01,2021-12,2022-01,2022-06,2022,0.5910863212200159,0.01897123569347592,0.21555662009987858,6489,694,0.1171165332198143,0.1171165332198143,0.19171595573425293,0.19171595573425293,0.061063263565301895,0.061063263565301895,0.07498395442962646,0.07498395442962646,0.09166810661554337,0.09166810661554337,0.07274621725082397,0.07274621725082397,0.07182182371616364,0.07182182371616364,0.10049299150705338,0.10049299150705338,0.14572544395923615,0.14572544395923615,0.072665736079216,0.072665736079216
26,RandomForest,2017-07,2022-06,2022-07,2022-12,2022,0.4370550226694455,0.18217618198860697,0.20371626790555855,6634,727,0.18991740550898428,0.18991740550898425,0.306115273867817,0.30611527386781695,0.04165509399583499,0.04165509399583498,0.04124398279085034,0.041243982790850335,0.05811247679240144,0.05811247679240143,0.04904144390423839,0.04904144390423838,0.03453131251668295,0.03453131251668294,0.1015344546706697,0.10153445467066968,0.13501055532400635,0.13501055532400633,0.04283800062851476,0.042838000628514755
26,XGBoost,2017-07,2022-06,2022-07,2022-12,2022,0.5826508837538711,0.1496030841110244,0.20773356400376822,6634,727,0.11301356554031372,0.11301356554031372,0.1760568767786026,0.1760568767786026,0.061524808406829834,0.061524808406829834,0.07278210669755936,0.07278210669755936,0.08250430226325989,0.08250430226325989,0.07698825001716614,0.07698825001716614,0.0746866762638092,0.0746866762638092,0.12952430546283722,0.12952430546283722,0.14343588054180145,0.14343588054180145,0.06948325783014297,0.06948325783014297
27,RandomForest,2018-01,2022-12,2023-01,2023-06,2023,0.44213963786921184,0.11684464338829403,0.19771612017527956,6723,98,0.19140413958292213,0.1914041395829221,0.3466378741309759,0.34663787413097585,0.04280365106970368,0.04280365106970367,0.041500304849036565,0.04150030484903656,0.058103650273522336,0.05810365027352233,0.045498486830421396,0.04549848683042139,0.039523778257573416,0.03952377825757341,0.08744402067600997,0.08744402067600995,0.10645310030110576,0.10645310030110575,0.040630994028728995,0.04063099402872899
27,XGBoost,2018-01,2022-12,2023-01,2023-06,2023,0.5763400889308332,0.1006082786241328,0.19952529829774757,6723,98,0.10890152305364609,0.10890152305364609,0.19944021105766296,0.19944021105766296,0.06473524123430252,0.06473524123430252,0.07000358402729034,0.07000358402729034,0.08044898509979248,0.08044898509979248,0.07798711210489273,0.07798711210489273,0.08831596374511719,0.08831596374511719,0.1233544796705246,0.1233544796705246,0.12165253609418869,0.12165253609418869,0.06516037881374359,0.06516037881374359
