window_id,train_start,train_end,test_start,test_end,test_year,train_r2,test_r2,train_size,test_size,intercept,beta_ievr,beta_normative_iv_rv_ratio,beta_SKEW,beta_KURT,beta_IV_RATIO,beta_SMIRK,beta_vol_hl7,beta_vol_hl10,beta_vol_hl21,beta_z_score_momentum,feature_std_ievr,feature_std_normative_iv_rv_ratio,feature_std_SKEW,feature_std_KURT,feature_std_IV_RATIO,feature_std_SMIRK,feature_std_vol_hl7,feature_std_vol_hl10,feature_std_vol_hl21,feature_std_z_score_momentum
11,2010-01,2014-12,2015-01,2015-06,2015,0.14262910677737783,0.16328341586546458,4254,536,1.1271592856174544,0.055260144241464415,0.06631731532739411,-0.013203829155581633,0.02545726364074851,0.0063992676400910055,-0.03324157597585999,0.1307087458992487,-0.20975779385462331,0.053712182612712656,0.009751052279499559,0.12690713399403225,0.364501478464466,0.17741532077482527,0.23732931358357787,0.1977073116607209,0.14691019075599632,0.00998232357341945,0.009795538244331778,0.009480429751229003,1.163176786269993
12,2010-07,2015-06,2015-07,2015-12,2015,0.15109596368795786,0.1315666790493939,4453,554,1.1243923699247464,0.058680333145300544,0.06765811280066378,-0.0012474811753285205,0.014155188672548908,0.008473940985870803,-0.016641887204516974,0.14156561538359097,-0.2182365727663838,0.05333623051902121,0.013662293363847831,0.13108502076160666,0.36773428407166014,0.19871777281178832,0.31054323005198364,0.2011828514501924,0.18906645197192506,0.009523844634681608,0.009322422321099868,0.009025742267712635,1.1487335534195668
13,2011-01,2015-12,2016-01,2016-06,2016,0.1725128285718811,0.21462722508836796,4642,551,1.13838194003115,0.06253689751785609,0.08330251856253246,-0.00026584901067911885,0.011437755601338915,-0.0015373876977578193,-0.015619624795304248,0.09658068820775156,-0.16230464138243086,0.04325165098720303,0.010331017812694361,0.13591135568097132,0.3790970473504978,0.19885056015153563,0.3172396218772528,0.207537720942372,0.20024976850171783,0.009549649594218796,0.009276961981196045,0.008868138322070352,1.1744560759908003
14,2011-07,2016-06,2016-07,2016-12,2016,0.18299614414795007,0.20939471002077292,4793,608,1.1356885168517683,0.06460961435979476,0.08494675231399204,-0.002411771101166499,0.013334876521619307,0.0033438265484356383,-0.01612990473901556,0.12069529180466435,-0.18573459109898877,0.042608317996019156,0.007299073084716056,0.1388022672465687,0.38316120243081764,0.19922065801020522,0.30950135118680827,0.2100680902468175,0.19811109834523044,0.009901255137772494,0.009660057049665183,0.009266913128012113,1.2027599464462029
15,2012-01,2016-12,2017-01,2017-06,2017,0.19302948621792626,0.2000345484395003,5013,555,1.1367555283291362,0.07091051946468573,0.08610073516251444,-0.0020083601993959475,0.011976660604013024,0.0027803433980426464,-0.014830707856441349,0.09089177407968715,-0.1392277232803509,0.029483082758110978,0.006790597665098441,0.14323672658671852,0.3663620707568442,0.19580203344332708,0.3285058426492575,0.21098920001020224,0.20207926177299468,0.009564036293902409,0.009304397103667868,0.00898501445962088,1.2376623689523236
16,2012-07,2017-06,2017-07,2017-12,2017,0.20262698000407764,0.14726923524554514,5198,643,1.1355452613836456,0.07472679181498586,0.08985132870423443,0.0034972789931149405,-0.005183422296241088,0.0018703271087492901,0.0005814129295176635,0.12506006757117846,-0.18467088824415678,0.043993041995121704,0.0053267211954260785,0.14682071278766137,0.364886459764567,0.19698845097486067,0.3359859902229358,0.20573306475648756,0.20234822983564307,0.009153940802665017,0.008946025573158066,0.008634247533306558,1.2519088400101883
17,2013-01,2017-12,2018-01,2018-06,2018,0.20280877420041932,0.13807981810906,5440,597,1.139612508379769,0.07785206334105454,0.08788263248052645,0.00400872453621437,-0.005777397316558857,0.0021644663578340045,0.0003906299795055111,0.1338032769033002,-0.2029777063433626,0.051882294951882985,0.00083592265633052,0.14812876048554485,0.358795231424236,0.19518514048263036,0.33467422418989334,0.20594984565667096,0.19715858597001665,0.008922497830010166,0.00872722898889838,0.008412119139570465,1.262121334020913
18,2013-07,2018-06,2018-07,2018-12,2018,0.20453883217216595,0.005287633667677816,5588,676,1.1420160228943919,0.07701127480456572,0.0890561287533801,0.005574605507525074,-0.00889509989052643,0.0010601597243962055,0.0021054090378603554,0.12424959026921417,-0.19149921695967362,0.049708206929307636,0.0007482287155069636,0.14862981435918618,0.3610005871335073,0.1928273375237885,0.3410207596601205,0.20362614043455013,0.19768593290348868,0.008860114190543703,0.008634310082371744,0.008255875883653995,1.2774795618544752
19,2014-01,2018-12,2019-01,2019-06,2019,0.19917842504865213,0.14627266863502308,5814,652,1.1527342607527384,0.07419506093430361,0.08175319984020968,0.0033131769626436364,-0.006702836101559697,0.005290053022481907,-0.0008742270480421161,0.1444567444216682,-0.22020680731861808,0.05667946924483766,0.006033243119182633,0.15042111168014244,0.35206829905616216,0.19487570788498318,0.3534086534696597,0.20684682427404447,0.20189938256956833,0.008672654323191394,0.008461418385319814,0.008092031711017193,1.2986920948035476
20,2014-07,2019-06,2019-07,2019-12,2019,0.19994373343173955,0.15978116732151637,5990,679,1.1481192878385396,0.07549670105553764,0.08344593572449141,0.005053628012922699,-0.009818375418326737,0.002581791959944219,0.0008671508911212355,0.15616632930300517,-0.22967008607036454,0.053095356346694336,0.0027407213477875403,0.14946588187519777,0.3573744430990492,0.19715553671084352,0.35413250949620306,0.20925935809093724,0.19945910248823337,0.00900983723298527,0.00863259968789105,0.008015680697211282,1.3089688780930024
21,2015-01,2019-12,2020-01,2020-06,2020,0.19531726529148463,0.34428457671485135,6165,631,1.1488376728075442,0.07417511809812938,0.08300135982389824,0.007122945080217069,-0.013386125256255396,0.002919180945855617,0.003547662787570933,0.18782131358902668,-0.27850237687737767,0.07235054773455789,0.002883878435077505,0.1485701112044678,0.34617434167103706,0.18629344318686028,0.36035723027453087,0.20697841002616674,0.19430799438589702,0.008772368467300378,0.008419110217371864,0.007844887246040728,1.3084709125495344
22,2015-07,2020-06,2020-07,2020-12,2020,0.22425243038444642,0.10826483789712338,6268,668,1.145441894294861,0.07643960566015356,0.08543333280712634,0.002065788600787955,-0.004324482130597657,-0.010535154568607171,-0.0056568062838149025,0.3068736144680488,-0.4579602695997431,0.11321770193502102,-0.00025632495493859195,0.156013741103696,0.36550846618872745,0.17298539606981955,0.3297313229700638,0.37402641014193516,0.17049624128165333,0.016015904326575667,0.015101949691803902,0.012563412483234629,1.3153830256936165
23,2016-01,2020-12,2021-01,2021-06,2021,0.21896967534202938,0.10103551495522667,6385,571,1.1328807559261522,0.07636882644247217,0.07822174886070452,0.008257160292619822,-0.014098204140906507,-0.007653420470003283,0.003592138303093948,0.10936308031839184,-0.1450404799251111,-0.006328458803572674,-0.0008942387794488228,0.15316869707566153,0.3434698454394249,0.16960802550801893,0.32356718721149413,0.3659225224323809,0.1569292260114925,0.016291692238736943,0.015515986699009023,0.013543732739424878,1.407888399998949
24,2016-07,2021-06,2021-07,2021-12,2021,0.2197638746101801,0.12326305519149705,6410,679,1.127038013686576,0.07744780546500293,0.07909760315391125,0.0007632646108770743,-0.004316165297256487,-0.009077823268429487,-0.004339979505390126,0.04614271139104484,-0.0600387666830579,-0.02701615093683954,0.0010647580406392906,0.15110242684912553,0.33937845089149715,0.17156555395532677,0.33784934205104117,0.3664035907503777,0.16099761876714763,0.016898886911626256,0.01623022542655768,0.014281681542122542,1.4234557677593842
25,2017-01,2021-12,2022-01,2022-06,2022,0.21062604769599524,0.12652903414807826,6489,694,1.1263094736163803,0.07284776629887188,0.07769845813167275,-0.010863449439455667,0.010103136962428745,-0.007954122888693098,-0.022705124892173065,0.08461153513280288,-0.12463537825339,5.930472790230517e-05,0.0020506897349685453,0.14829857432904853,0.3347352388204152,0.1844988918993252,0.3470290774425186,0.36400339732858805,0.16716099658519268,0.016824252742313063,0.016185227390027614,0.0143575062733089,1.4375363815196467
26,2017-07,2022-06,2022-07,2022-12,2022,0.2070058335739534,0.1085044797481125,6634,727,1.12835538362034,0.06837171026359798,0.074158917385907,-0.01509973065045181,0.021672227814994765,-0.009058982857185071,-0.030337309345820702,0.028011739473052997,-0.04751682918368838,-0.023477990852916276,0.0020474092748481013,0.14500955906527715,0.3367733181186412,0.1926707016552031,0.37916610202690926,0.3689542967675837,0.1761275490901257,0.01688802020504537,0.01625734398074191,0.014452764029984105,1.449334794959073
27,2018-01,2022-12,2023-01,2023-06,2023,0.20284114313120127,0.10696995030244716,6723,98,1.124861648880469,0.06644498065874661,0.07547112447447736,-0.01550745332708854,0.020699637914784193,-0.007892908750714436,-0.029470341715312695,0.06901117226086587,-0.10766758868609176,-0.001567023962102055,0.002473635738698184,0.14075123992926,0.3651203558534573,0.18999203537719883,0.3777206972212903,0.3645520050691591,0.17614163243253592,0.016929047057405548,0.016302330443051162,0.014533793393390022,1.4774667253211855
