window_id,train_start,train_end,val_start,val_end,test_start,test_end,test_year,LinearRegression_r2,LinearRegression_rmse,LinearRegression_mae,LinearRegression_train_size,LinearRegression_test_size,RandomForest_r2,RandomForest_rmse,RandomForest_mae,RandomForest_train_size,RandomForest_test_size,XGBoost_r2,XGBoost_rmse,XGBoost_mae,XGBoost_train_size,XGBoost_test_size,Baseline_r2,Baseline_rmse,Baseline_mae,Baseline_train_size,Baseline_test_size
11,2010-01,2014-12,2015-01,2015-06,2015-07,2015-12,2015,0.1342223653496898,0.2228885195706189,0.178916073840956,4365,566,0.16009944063593318,0.21953231320254074,0.1777349552430527,4365,566,0.11463153391926062,0.22539617575844076,0.18216599135333214,4365,566,-0.20172060059825347,0.263248423605472,0.20637026522395913,0,527
12,2010-07,2015-06,2015-07,2015-12,2016-01,2016-06,2016,0.20016929291164953,0.2193413590645084,0.17416554657005173,4578,592,0.16887861216690014,0.22359069327231185,0.17938755014247637,4578,592,0.1324665536763856,0.22843603158900042,0.18319566478989424,4578,592,-0.19852249077520812,0.26643735423145803,0.2138719330016891,0,551
13,2011-01,2015-12,2016-01,2016-06,2016-07,2016-12,2016,0.21356011500854188,0.22952262866197673,0.19215833087701492,4781,609,0.21990920767112276,0.22859425918982895,0.1920986909830395,4781,609,0.16972086801314035,0.23583312451504063,0.19614679863210532,4781,609,-0.11667874069272122,0.2746865271426153,0.22440158714619682,0,560
14,2011-07,2016-06,2016-07,2016-12,2017-01,2017-06,2017,0.19374827970829045,0.2387477155433817,0.19659516051235165,4973,637,0.2061304394527611,0.236907316060335,0.19680600274207374,4973,637,0.178383614845406,0.24101187610200114,0.2006390435200143,4973,637,-0.06859239787710014,0.2713042547884635,0.2194239983508951,0,589
15,2012-01,2016-12,2017-01,2017-06,2017-07,2017-12,2017,0.13858619526906113,0.23187550049760317,0.19155398492758538,5195,644,0.17032964796085004,0.22756304490743887,0.18668459998203848,5195,644,0.13881483940438855,0.231844725223542,0.18811293667338574,5195,644,-0.105529800409631,0.2614221343658368,0.20739832579043613,0,582
16,2012-07,2017-06,2017-07,2017-12,2018-01,2018-06,2018,0.13572804142100137,0.21113232915412328,0.17216312856088312,5403,672,0.1535352432142909,0.2089459549034847,0.16913409870164806,5403,672,0.1512638579651625,0.20922610762207663,0.1703948339273731,5403,672,-0.20280359827518124,0.24977111117951753,0.1989629842695657,0,622
17,2013-01,2017-12,2018-01,2018-06,2018-07,2018-12,2018,-0.01582858277917243,0.22054722496150167,0.18067381015517509,5646,678,0.047250139168096505,0.21358995800055558,0.17488181689236032,5646,678,0.013575193894736604,0.21733184951704015,0.179032415102167,5646,678,-0.2552737072946494,0.24676315695509946,0.19696120569309478,0,632
18,2013-07,2018-06,2018-07,2018-12,2019-01,2019-06,2019,0.1661346194343324,0.21931465843859815,0.17762534770186122,5847,671,0.1410644575981027,0.22258709165196003,0.17892356274620855,5847,671,0.10643896443030998,0.22702924210384728,0.18219395979440606,5847,671,-0.1623595793170367,0.2560334680845367,0.20428235043758508,0,638
19,2014-01,2018-12,2019-01,2019-06,2019-07,2019-12,2019,0.1609208783650563,0.21530289140139966,0.17445652885522364,6077,681,0.17911952661731545,0.21295525786653105,0.17436111276333827,6077,681,0.14559447344176424,0.21726032715604446,0.17829528844510337,6077,681,-0.12182597972714948,0.24314164175043773,0.19296284941488062,0,637
20,2014-07,2019-06,2019-07,2019-12,2020-01,2020-06,2020,0.27565408514264766,0.25442568580617136,0.19600830409955453,6262,723,0.33794782990826866,0.24323947254121883,0.1904113709905991,6262,723,0.33774914741865725,0.24327596800254853,0.18995704775486366,6262,723,0.10588300150965257,0.2831376386684857,0.22443266720659347,0,680
21,2015-01,2019-12,2020-01,2020-06,2020-07,2020-12,2020,0.19289108508142838,0.20412937151545565,0.16348789166143501,6433,685,0.2013034343632749,0.2030627833839305,0.16579121261476307,6433,685,0.18648906076079064,0.2049373541329509,0.16526751218768151,6433,685,-0.2273816556296,0.25063934719930125,0.20066323320116675,0,631
22,2015-07,2020-06,2020-07,2020-12,2021-01,2021-06,2021,0.09742019064713914,0.20413144598488533,0.16472293146176079,6594,620,0.16594570540603348,0.19622948602434365,0.16015421865837123,6594,620,0.15128905986017938,0.1979461253010555,0.16121564570701744,6594,620,-0.09691680399555658,0.22385027764331655,0.1776785643111217,0,575
23,2016-01,2020-12,2021-01,2021-06,2021-07,2021-12,2021,0.11394384735502638,0.2245837829668758,0.17814145876566048,6717,678,0.17298916019449395,0.21697183958945235,0.17459293664420106,6717,678,0.11735618332627928,0.22415091278106442,0.1783305176974145,6717,678,-0.20085358697593558,0.26061261205153163,0.20931715366250073,0,639
24,2016-07,2021-06,2021-07,2021-12,2022-01,2022-06,2022,0.13679026691210483,0.20253257697171664,0.16306084607547797,6751,692,0.058410387330738445,0.21152784929319696,0.17046113230552143,6751,692,-0.004620715388287344,0.21849313136178933,0.17496805595243428,6751,692,-0.1647337072843662,0.2367062454019311,0.19024843500980826,0,660
25,2017-01,2021-12,2022-01,2022-06,2022-07,2022-12,2022,0.1020263046964357,0.2126917406479795,0.16554434621888067,6828,731,0.15683910133852508,0.20609812799663557,0.16261349673768882,6828,731,0.13681536021140195,0.20853102110174612,0.1642875587553413,6828,731,-0.19171549558783973,0.24334587745186334,0.18838554326681872,0,683
